Column_Name;Label
q1;Custom Age
q2;Sex
q3;In what grade are you
q4;How tall are you
q5;How much do you weigh
q6;How often went hungry
q7;No fruit eating
q8;No vegetable eating
q9;Soft drinks
q10;Fast food eating
q11;Tooth brushing
q12;Hand washing before eating
q13;Hand washing after toilet
q14;Hand washing with soap
q15;Physically attacked
q16;Physical fighting
q17;Seriously injured
q18;Serious injury type
q19;Serious injury cause
q20;Bullied
q21;Bullied how
q22;Felt lonely
q23;Could not sleep
q24;Considered suicide
q25;Made a suicide plan
q26;Attempted suicide
q27;Close friends
q28;Initiation of cigarette use
q29;Current cigarette use
q30;Other tobacco use
q31;Smoking cessation
q32;Smoking in their presence
q33;Parental tobacco use
q34;Initiation of alcohol use
q35;Current alcohol use
q36;Drank 2+ drinks
q37;Source of alchohol
q38;Really drunk
q39;Trouble from drinking
q40;Initiation of drug use
q41;Ever marijuana use
q42;Current marijuana use
q43;Amphethamine or methamphetamine use
q44;Ever sexual intercourse
q45;Age first had sex
q46;Number of sex partners
q47;Condom use
q48;Birth control used
q49;Physical activity past 7 days
q50;Walk or bike to school
q51;PE attendance
q52;Sitting activities
q53;Miss school no permission
q54;Other students kind and helpful
q55;Parents check homework
q56;Parents understand problems
q57;Parents know about free time
q58;Parents go through their things
qn6;Most of the time or always went hungry
qn7;Did not eat fruit
qn8;Did not eat vegetables
qn9;Did not drink carbonated soft drinks
qn10;Did not eat food from a fast food restaurant
qn11;Usually cleaned or brushed their teeth
qn12;Never or rarely washed their hands before eating
qn13;Never or rarely washed their hands after using the toilet or latrine
qn14;Never or rarely used soap when washing their hands
qn15;Were physically attacked
qn16;Were in a physical fight
qn17;Were seriously injured
qn18;Reported that their most serious injury was a broken bone or dislocated joint
qn19;Reported that their most serious injury was caused by a motor vehicle accident o
qn20;Were bullied
qn21;Were bullied most often by being hit, kicked, pushed, shoved around, or locked i
qn22;Most of the time or always felt lonely
qn23;Most of the time or always were so worried about something that they could not s
qn24;Seriously considered attempting suicide
qn25;Made a plan about how they would attempt suicide
qn26;Attempted suicide
qn27;Did not have any close friends
qn28;Tried a cigarette before age 14 years
qn29;Currently smoked cigarettes
qn30;Currently used any tobacco products other than cigarettes
qn31;Tried to quit smoking cigarettes
qn32;Reported that people smoked in their presence
qn33;Had parents or guardians who used any form of tobacco
qn34;Drank alcohol before age 14 years
qn35;Currently drank alcohol
qn36;Usually drank two or more drinks per day
qn37;Usually obtained the alcohol they drank from friends
qn38;Ever drank so much alcohol that they were really drunk
qn39;Ever got into trouble with their family or friends, missed school, or got into f
qn40;Used drugs before age 14 years
qn41;Ever used marijuana
qn42;Currently used marijuana
qn43;Ever used amphethamines or methamphetamines
qn44;Ever had sexual intercourse
qn45;Had sexual intercourse before age 14 years
qn46;Had sexual intercourse with two or more persons
qn47;Used a condom
qn48;Used a method of birth control other than condoms
qn49;Were not physically active
qn50;Did not walk or ride a bicycle to or from school
qn51;Did not attend physical education classes
qn52;Spent three or more hours per day doing sitting activities
qn53;Missed classes or school without permission
qn54;Reported that most of the students in their school were most of the time or alwa
qn55;Reported that their parents or guardians most of the time or always checked to s
qn56;Reported that their parents or guardians most of the time or always understood t
qn57;Reported that their parents or guardians most of the time or always really knew
qn58;Reported that their parents or guardians never or rarely went through their thin
qnunwtg;Were underweight
qnowtg;Were overweight
qnobeseg;Were obese
qnfrlg;Usually ate fruit less than one time per day
qnfr1g;Usually ate fruit one or more times per day
qnfr2g;Usually ate fruit two or more times per day
qnfr3g;Usually ate fruit three or more times per day
qnveglg;Usually ate vegetables less than one time per day
qnveg1g;Usually ate vegetables one or more times per day
qnveg2g;Usually ate vegetables two or more times per day
qnveg3g;Usually ate vegetables three or more times per day
qnsodalg;Usually drank carbonated soft drinks less than one time per day
qnsoda1g;Usually drank carbonated soft drinks one or more times per day
qnsoda2g;Usually drank carbonated soft drinks two or more times per day
qnsoda3g;Usually drank carbonated soft drinks three or more times per day
qnff1g;Ate food from a fast food restaurant one or more days
qnff2g;Ate food from a fast food restaurant two or more days
qnff3g;Ate food from a fast food restaurant three or more days
qnc2g;Were bullied and could not sleep at night
qntob2g;Currently used any tobacco product
qnnotb2g;Did not currently use any tobacco products
qnbcanyg;Used a method of birth control
qnc1g;Ever had sexual intercourse among students who had drank so much alcohol that th
qnpa5g;Were physically active at least 60 minutes per day on 5 or more days
qnpa7g;Were physically active at least 60 minutes per day on all 7 days
qnpe3g;Attended physical education classes on three or more days
qnpe5g;Attended physical education classes on five or more days
weight;""
stratum;""
psu;""
