"term","Afghanistan_or_ci","Bangladesh_or_ci","Maldives_or_ci","Nepal_or_ci","Sri Lanka_or_ci","Afghanistan_p_value","Bangladesh_p_value","Maldives_p_value","Nepal_p_value","Sri Lanka_p_value"
"q2Female","0.43 (0.32-0.58)","0.40 (0.30-0.53)","0.43 (0.34-0.53)","0.78 (0.69-0.90)","0.52 (0.44-0.63)","<0.001","<0.001","<0.001","<0.001","<0.001"
"q112 years old","0.13 (0.02-0.76)","0.73 (0.07-18.18)","1.22 (0.07-19.47)","0.77 (0.43-1.38)","0.57 (0.02-8.82)","0.026","0.815","0.886","0.374","0.687"
"q113 years old","0.23 (0.04-1.13)","0.66 (0.08-15.34)","0.58 (0.08-4.85)","0.91 (0.53-1.59)","0.37 (0.01-5.48)","0.077","0.747","0.575","0.744","0.476"
"q114 years old","0.22 (0.04-1.08)","0.58 (0.07-13.53)","0.50 (0.08-4.09)","1.05 (0.61-1.84)","0.31 (0.01-4.59)","0.067","0.672","0.475","0.862","0.402"
"q115 years old","0.12 (0.02-0.60)","0.84 (0.09-19.73)","0.36 (0.06-2.89)","0.91 (0.52-1.60)","0.30 (0.01-4.42)","0.011","0.893","0.282","0.728","0.381"
"q116 years old","0.08 (0.01-0.42)","1.36 (0.15-32.48)","0.28 (0.04-2.25)","0.73 (0.42-1.30)","0.27 (0.01-4.05)","0.003","0.814","0.181","0.282","0.342"
"q117 years old","0.09 (0.01-0.47)","4.20 (0.34-115.85)","0.25 (0.04-2.05)","0.65 (0.36-1.21)","0.27 (0.01-4.36)","0.005","0.312","0.150","0.169","0.360"
"q118 years old or older","0.05 (0.01-0.26)",NA,"0.33 (0.05-2.76)","0.64 (0.30-1.37)","0.29 (0.01-5.69)","<0.001",NA,"0.257","0.250","0.416"
"educationGrade 11","0.84 (0.51-1.38)",NA,"0.80 (0.51-1.24)","0.71 (0.43-1.17)","0.98 (0.62-1.53)","0.502",NA,"0.318","0.188","0.915"
"educationGrade 6","2.09 (0.07-62.10)",NA,NA,NA,NA,"0.625",NA,NA,NA,NA
"educationGrade 7","0.57 (0.35-0.94)","1.20 (0.66-2.18)",NA,"0.90 (0.70-1.15)",NA,"0.027","0.543",NA,"0.396",NA
"educationGrade 8","0.65 (0.41-1.04)","0.92 (0.51-1.63)","0.86 (0.54-1.38)","0.77 (0.62-0.94)","1.22 (0.64-2.33)","0.072","0.771","0.537","0.013","0.542"
"educationGrade 9","0.63 (0.40-0.98)","0.86 (0.57-1.33)","0.92 (0.64-1.32)","1.06 (0.87-1.29)","1.22 (0.77-1.94)","0.041","0.497","0.656","0.572","0.402"
"felt_lonely1","0.88 (0.65-1.19)","1.53 (1.15-2.05)","1.00 (0.79-1.26)","1.16 (1.00-1.33)","1.20 (0.98-1.46)","0.416","0.004","0.994","0.049","0.080"
"couldnot_sleep1","1.03 (0.76-1.39)","1.89 (1.42-2.52)","1.35 (1.07-1.71)","1.09 (0.94-1.26)","1.39 (1.10-1.77)","0.834","<0.001","0.011","0.253","0.006"
"q171 time","1.55 (1.02-2.35)","3.60 (1.88-6.68)","1.49 (0.87-2.50)","1.15 (0.90-1.48)","2.03 (1.43-2.90)","0.038","<0.001","0.139","0.263","<0.001"
"q172 or 3 times","2.37 (1.35-4.14)","5.83 (2.84-11.69)","1.92 (1.11-3.23)","1.83 (1.39-2.40)","3.11 (2.05-4.75)","0.003","<0.001","0.017","<0.001","<0.001"
"q174 or 5 times","4.68 (2.01-11.27)","6.41 (2.66-15.10)","2.10 (1.06-4.09)","1.90 (1.32-2.73)","3.21 (1.71-6.22)","<0.001","<0.001","0.031","<0.001","<0.001"
"q176 or 7 times","3.39 (0.97-12.26)","9.52 (2.98-30.20)","1.06 (0.42-2.55)","3.30 (2.02-5.46)","5167523.04 (4.38-220436515347405460080202080040824002.00)","0.057","<0.001","0.894","<0.001","0.954"
"q1710 or 11 times","15947051.31 (0.00-NA)","42.07 (5.52-839.14)","2.22 (0.44-11.28)","1.42 (0.65-3.07)","1954984.38 (0.00-NA)","0.984","0.001","0.324","0.376","0.980"
"q1712 or more times","1.47 (0.32-6.15)","6.32 (1.70-22.68)","2.69 (1.21-5.88)","1.52 (0.84-2.76)","1.77 (0.61-5.60)","0.601","0.005","0.014","0.164","0.308"
"q18Broken bone/dislocated joint","1.81 (1.08-3.06)","0.90 (0.40-2.02)","2.09 (1.18-3.76)","1.27 (0.90-1.79)","0.69 (0.42-1.11)","0.026","0.791","0.013","0.178","0.125"
"q18I had a cut or stab wound","1.37 (0.78-2.39)","0.86 (0.46-1.65)","1.47 (0.82-2.68)","1.07 (0.84-1.36)","1.05 (0.64-1.73)","0.270","0.639","0.205","0.587","0.844"
"q18Concussion/head injury","1.69 (0.58-5.03)","0.53 (0.23-1.23)","1.21 (0.56-2.57)","0.86 (0.57-1.30)","0.63 (0.27-1.49)","0.339","0.140","0.628","0.474","0.289"
"q18I had a gunshot wound","1.28 (0.20-7.42)","0.75 (0.03-8.46)","2.86 (0.87-9.79)","5.39 (1.20-38.28)","0.73 (0.07-16.76)","0.780","0.822","0.087","0.045","0.807"
"q18I had a bad burn","1.71 (0.36-8.11)","0.71 (0.24-2.05)","1.56 (0.58-4.08)","1.31 (0.78-2.21)","1.30 (0.31-8.94)","0.492","0.529","0.370","0.312","0.748"
"q18I was poisoned","1.84 (0.56-5.64)","0.25 (0.01-3.94)","5.29 (0.93-42.43)","0.50 (0.05-4.76)","1.95 (0.42-10.46)","0.294","0.409","0.075","0.528","0.401"
"q18Something else happened to me","0.77 (0.36-1.60)","0.56 (0.27-1.16)","1.19 (0.72-2.02)","1.15 (0.82-1.60)","0.79 (0.53-1.17)","0.489","0.116","0.503","0.426","0.243"
"q201 or 2 days","2.30 (1.65-3.19)","2.10 (1.48-2.95)","1.49 (1.07-2.05)","2.65 (2.29-3.07)","2.07 (1.69-2.54)","<0.001","<0.001","0.016","<0.001","<0.001"
"q203 to 5 days","1.87 (1.15-3.01)","1.64 (0.95-2.77)","1.83 (1.19-2.78)","4.01 (3.15-5.13)","2.71 (1.88-3.94)","0.010","0.069","0.005","<0.001","<0.001"
"q206 to 9 days","2.23 (1.01-4.87)","4.92 (1.55-17.11)","3.18 (1.45-6.97)","2.48 (1.76-3.48)","2.98 (1.61-5.69)","0.044","0.008","0.004","<0.001","<0.001"
"q2010 to 19 days","1.49 (0.52-4.13)","1.63 (0.41-5.47)","1.22 (0.62-2.33)","2.73 (1.64-4.56)","3.77 (1.75-8.86)","0.450","0.452","0.549","<0.001","0.001"
