variable,category,n,percent
country,Afghanistan,405124,4.45
country,Bangladesh,5111218,56.13
country,Maldives,24153,0.27
country,Nepal,2215179,24.33
country,Sri Lanka,1350082,14.83
q2,Male,5260312,57.77
q2,Female,3755871,41.25
q2,NA,89572,0.98
age_category,11 years old or younger,71496,0.79
age_category,12 to 14 years,5301842,58.23
age_category,15 to 17 years,3588872,39.41
age_category,18 years old or older,106134,1.17
age_category,NA,37412,0.41
education_cat,Higher Secondary,558715,6.14
education_cat,Lower Secondary,4591875,50.43
education_cat,Middle Secondary,3874353,42.55
education_cat,NA,80813,0.89
substance_use,0,7947565,87.28
substance_use,1,455623,5
substance_use,2,299270,3.29
substance_use,3,76519,0.84
substance_use,NA,326779,3.59
drug_initiation_cat, <13 years),345207,3.79
drug_initiation_cat,13-18 years),95806,1.05
drug_initiation_cat,Never used,8340864,91.6
drug_initiation_cat,NA,323879,3.56
hunger_cat,Never,4578117,50.28
hunger_cat,Often,882543,9.69
hunger_cat,Sometimes,3526090,38.72
hunger_cat,NA,119006,1.31
miss_school_cat,Never,6156654,67.61
miss_school_cat,Often,366201,4.02
miss_school_cat,Sometimes,2309882,25.37
miss_school_cat,NA,273018,3
felt_lonely,0,5473949,60.12
felt_lonely,1,3514412,38.6
felt_lonely,NA,117394,1.29
q24,Yes,742980,8.16
q24,No,8141537,89.41
q24,NA,221238,2.43
q17,0 times,4158330,45.67
q17,1 time,1998893,21.95
q17,2 or 3 times,1081634,11.88
q17,4 or 5 times,307379,3.38
q17,6 or 7 times,149561,1.64
q17,8 or 9 times,75586,0.83
q17,10 or 11 times,45791,0.5
q17,12 or more times,114378,1.26
q17,NA,1174207,12.9
q18,Not seriously injured,4818564,52.92
q18,Broken bone/dislocated joint,419271,4.6
q18,I had a cut or stab wound,1701521,18.69
q18,Concussion/head injury,329617,3.62
q18,I had a gunshot wound,27850,0.31
q18,I had a bad burn,105546,1.16
q18,I was poisoned,29837,0.33
q18,Something else happened to me,587265,6.45
q18,NA,1086287,11.93
physical_fight_binary,0,6317619,69.38
physical_fight_binary,1,2751536,30.22
physical_fight_binary,NA,36600,0.4
q53,0 days,6156654,67.61
q53,1 or 2 days,1900464,20.87
q53,3 to 5 days,409418,4.5
q53,6 to 9 days,194452,2.14
q53,10 or more days,171750,1.89
q53,NA,273018,3
q54,Never,1272819,13.98
q54,Rarely,675839,7.42
q54,Sometimes,1994825,21.91
q54,Most of the time,2809273,30.85
q54,Always,2004448,22.01
q54,NA,348553,3.83
q20,1-9 days,2739382,30.08
q20,10 or more days,239236,2.63
q20,No days,5896455,64.76
q20,NA,230682,2.53
q27,0,652691,7.17
q27,1,1846635,20.28
q27,2,1983655,21.78
q27,3 or more,4483266,49.24
q27,NA,139509,1.53
